,Nose_Neck_MidHip,RShoulder_Neck_MidHip,LShoulder_Neck_MidHip,RElbow_RShoulder_Neck,LElbow_LShoulder_Neck,RWrist_RElbow_RShoulder,LWrist_LElbow_LShoulder,RHip_MidHip_Neck,LHip_MidHip_Neck,RKnee_RHip_MidHip,LKnee_LHip_MidHip,RAnkle_RKnee_RHip,LAnkle_LKnee_LHip
Michelangelo_27549_keypoints.npy_27549_1_m,2.492105484008789,-1.610207200050354,1.5144301652908325,-1.943777322769165,3.0820915699005127,-2.523249864578247,-2.573227882385254,1.6115087270736694,-1.5383514165878296,-0.27668121457099915,-3.005826473236084,5e-324,1.8376740217208862
Michelangelo_101631_keypoints.npy_101631_1_m,-2.997070789337158,-1.40359628200531,1.8099901676177979,-2.191845417022705,2.3887181282043457,-2.418717622756958,-2.3401949405670166,1.8417744636535645,-1.1883195638656616,-0.8832705616950989,-2.986704111099243,2.3337202072143555,0.7341369986534119
Michelangelo_12758_keypoints.npy_12758_1_m,-2.3346030712127686,-1.2528430223464966,1.8890552520751953,-2.0167834758758545,2.0190277099609375,-2.877875566482544,2.8258233070373535,1.7854543924331665,-1.3585137128829956,-2.3625476360321045,0.32295307517051697,-2.186941146850586,-1.8354243040084839
Michelangelo_98829_keypoints.npy_98829_1_m,2.4195523262023926,-1.6507909297943115,1.4874300956726074,-2.2387855052948,1.7144935131072998,-1.8368059396743774,2.81390380859375,1.743321418762207,-1.1216847896575928,0.27441585063934326,2.854884624481201,5e-324,1.1346817016601562
Michelangelo_96448_keypoints.npy_96448_1_m,-1.708957314491272,-2.5509424209594727,0.6125370264053345,-1.3521952629089355,1.7561882734298706,2.6018829345703125,1.4969794750213623,1.4142004251480103,-1.9054425954818726,-2.6872222423553467,0.7414013743400574,5e-324,-1.5228594541549683
Michelangelo_72952_keypoints.npy_72952_1_m,-1.992069125175476,1.6803498268127441,-1.4291833639144897,2.486555337905884,-2.3913187980651855,-0.2423691302537918,5e-324,-1.5247468948364258,1.5814323425292969,5e-324,5e-324,5e-324,5e-324
Michelangelo_6834_keypoints.npy_6834_1_m,-2.3289215564727783,-0.9619764089584351,2.3580825328826904,-0.3063659071922302,2.547255039215088,-2.712404489517212,5e-324,2.649355888366699,-0.7469255328178406,-0.47783082723617554,3.0603017807006836,1.2583067417144775,1.7429062128067017
Michelangelo_44006_keypoints.npy_44006_1_m,2.425891160964966,1.4105418920516968,-1.6970524787902832,2.331202983856201,5e-324,-2.8228657245635986,5e-324,2.1849660873413086,-1.0823602676391602,-1.7674221992492676,2.27714204788208,1.3901344537734985,5e-324
Michelangelo_4942_keypoints.npy_4942_1_m,-2.0501537322998047,-1.1715434789657593,1.9178084135055542,-2.6009562015533447,1.639107584953308,2.792278289794922,2.885809898376465,1.451460361480713,-1.6121867895126343,-2.7122623920440674,0.7105922102928162,-0.3261732757091522,-1.3608689308166504
Michelangelo_62566_keypoints.npy_62566_1_m,2.7718617916107178,-1.8210033178329468,1.2947182655334473,-1.4477207660675049,2.6024396419525146,5e-324,2.976327896118164,1.1515589952468872,-2.078739643096924,-2.783795118331909,1.6270722150802612,-2.156339645385742,-2.8675785064697266
Michelangelo_8073_keypoints.npy_8073_1_m,2.47359037399292,0.7817189693450928,-2.600465774536133,1.930026888847351,5e-324,-2.4065473079681396,5e-324,2.9758315086364746,-0.41976502537727356,-1.3609071969985962,2.1772332191467285,0.8071070909500122,5e-324
Michelangelo_1304_keypoints.npy_1304_1_m,2.8055498600006104,-1.6413159370422363,1.5361616611480713,-2.501293420791626,2.0185396671295166,2.3277738094329834,0.5943381786346436,1.4672116041183472,-1.6758557558059692,-1.661538004875183,2.2141380310058594,-2.920255422592163,2.2060768604278564
